type,longitude,latitude,NDVI,NDBI,BSI,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,distriver1,distriver2,bulk_density,slope,tri,ph,soc,clay,cec,lidar_elevation_value,label
earthwork,-67.601,-10.3632,0.44868323,-0.07802198,-0.0568557536466775,25.51250076,10.4416666,70.07830048,82.98755646,32.29999924,17.39999962,14.89999962,25.86666679,24.36666679,26.23333359,24.31666565,1672,221,46,46.11636353,647,175,423,188,711689.8654,600090.0223,133.0,1.1066768169403076,7.930251502246879,48.0,99.0,21.5,14.1,210.0,1
earthwork,-67.271,-9.8548,0.43667954,-0.13270296,-0.0807494832299793,25.64166641,10.39999962,71.72413635,76.56943512,32.29999924,17.79999924,14.5,25.98333359,24.58333397,26.29999924,24.53333282,1788,259,31,54.60306549,744,128,440,177,672179.7077,664579.7773,133.0,1.29661226272583,6.08174763706833,45.0,67.0,31.2,10.9,237.0,1
earthwork,-67.273,-10.1631,0.47077942,-0.13618964,-0.0888839934793145,25.82499886,10.41666603,70.86167908,78.26238251,32.59999847,17.89999962,14.69999886,26.14999962,24.76666641,26.53333282,24.70000076,1736,238,36,50.83913422,696,147,437,180,703709.9635,641905.5826,137.0,0.7495502233505249,2.98142396999972,46.0,88.0,29.7,14.9,233.0,1
earthwork,-67.833,-10.5152,0.45767438,-0.19758035,-0.1343661552212125,25.26666641,10.08333302,70.02314758,85.18251801,31.79999924,17.39999962,14.39999962,25.68333435,24.06666565,26.0,24.04999924,1637,229,42,50.33956528,655,153,506,170,719430.9149,569769.3626,125.0,1.2413963079452517,3.937787810371058,51.0,118.0,25.3,12.4,211.0,1
earthwork,-67.988,-10.1692,0.43130183,-0.0785777,-0.0629692952439912,25.23749924,10.39166641,70.21396637,86.78929901,31.89999962,17.10000038,14.79999924,25.70000076,24.01666641,25.95000076,23.98333359,1641,213,54,42.83191681,621,194,492,201,677534.0333,583404.5957,127.0,2.713393211364746,7.145748973694951,49.0,116.0,22.3,14.5,209.0,1
earthwork,-67.599,-9.9469,0.42936853,-0.13629946,-0.0801280591362515,25.27499962,10.28333282,70.91954041,82.06148529,31.89999962,17.39999962,14.5,25.66666603,24.13333321,25.96666718,24.08333397,1683,219,50,43.01311874,643,193,495,209,668432.9485,631154.5137,139.0,0.3671813905239105,2.8065179867364303,46.0,93.0,25.6,15.0,182.0,1
earthwork,-67.539,-9.9504,0.45730406,-0.09366619,-0.0660462929067689,25.42499924,10.44999981,70.60810089,81.11441803,32.20000076,17.39999962,14.80000114,25.79999924,24.29999924,26.10000038,24.25,1697,224,47,44.91806793,657,182,426,201,670866.3815,635776.1364,138.0,1.584872484207153,5.251689910265373,47.0,102.0,27.6,23.65,213.0,1
earthwork,-67.634,-10.2844,0.43330443,-0.08027791,-0.0459274419511244,25.49583435,10.54166603,70.27777863,82.69489288,32.29999924,17.29999924,15.0,25.88333321,24.35000038,26.18333435,24.29999924,1671,217,52,43.4295578,636,191,425,200,702237.0746,603107.7996,132.0,0.6257278919219971,2.6152449546534307,48.0,140.0,28.622,19.314,210.0,1
earthwork,-67.938,-10.4709,0.4778297,-0.117832325,-0.0931671716956169,25.32083321,10.07499981,69.96527863,87.13777924,31.79999924,17.39999962,14.39999962,25.76666641,24.08333206,26.06666565,24.08333206,1636,231,43,50.47132492,656,154,505,154,711177.3805,564389.392,128.0,1.7573952674865725,5.632796380282986,49.0,115.0,23.0,11.8,211.0,1
earthwork,-67.827,-10.4958,0.44922513,-0.047957122,-0.0255826413072596,25.27083397,10.07499981,69.96527863,84.99888611,31.79999924,17.39999962,14.39999962,25.70000076,24.08333206,26.0,24.04999924,1638,229,42,50.01673508,654,155,505,170,717591.4831,571677.6436,125.0,0.5915309190750122,2.4545246704866432,47.0,116.0,21.6,14.0,213.0,1
earthwork,-67.73,-10.6708,0.5043668,-0.13237005,-0.0976642263060909,25.52083397,10.17499924,69.69178772,86.43070221,32.09999847,17.5,14.59999847,25.95000076,24.31666565,26.26666641,24.28333282,1679,239,38,51.67089844,673,146,526,165,739445.8812,567369.7602,131.0,2.605253219604492,11.55662388223981,48.0,105.0,21.4,12.9,209.0,1
earthwork,-67.76,-10.6016,0.39341724,-0.029521681,0.0048254112998214,25.5,10.4333334,70.02237701,84.45011139,32.29999924,17.39999962,14.89999962,25.86666679,24.34999847,26.25,24.28333282,1692,237,42,49.75640106,670,158,524,172,731097.7679,569680.6322,133.0,0.4202546775341034,1.8121673811446528,45.0,227.0,20.5,13.1,243.0,1
earthwork,-67.604,-10.3449,0.42105263,-0.05980774,-0.025987152606651,25.47083282,10.47499943,69.83332825,83.78702545,32.29999924,17.29999924,15.0,25.83333397,24.31666565,26.20000076,24.26666641,1673,221,48,45.60235977,646,178,424,191,709666.3276,601140.0275,135.0,0.7165127396583557,3.664982778326613,47.0,93.0,28.5,17.0,209.0,1
earthwork,-67.713,-10.3919,0.40078628,-0.08084053,-0.072343497311181,25.3125,10.50833321,70.05556488,85.46995544,32.09999847,17.10000038,14.99999809,25.70000076,24.13333321,26.04999924,24.08333206,1660,221,47,46.07585907,642,173,505,188,710698.833,588683.629,128.0,0.2357367128133773,1.4142135623730951,51.0,96.0,25.0,14.7,207.0,1
earthwork,-67.633,-10.2843,0.42579272,-0.10701041,-0.0649982837707117,25.52499962,10.5666666,69.9779129,83.21657562,32.40000153,17.29999924,15.10000229,25.89999962,24.38333321,26.23333359,24.31666756,1671,217,51,43.62704849,637,190,424,199,702240.1157,603118.5598,132.0,1.004655122756958,2.8284271247461903,48.0,95.0,28.514,20.118,209.0,1
earthwork,-67.657,-10.2085,0.38316265,-0.12683381,-0.0755744532137344,25.36249924,10.3083334,70.12471008,84.85616302,32.0,17.29999924,14.70000076,25.76666641,24.18333435,26.06666565,24.13333321,1665,212,53,41.84239197,627,200,493,207,693420.365,607018.5193,134.0,0.3305612802505493,2.8284271247461903,45.0,90.0,20.4,14.37566,211.0,1
earthwork,-67.767,-10.5,0.371842,-0.09260529,-0.0392934053244281,25.44583321,10.125,69.82758331,85.69126129,32.0,17.5,14.5,25.85000038,24.25,26.18333435,24.21666718,1654,229,42,49.25406647,654,158,510,173,720135.5015,576356.8634,132.0,0.7803440093994141,3.4783279649994663,47.0,104.0,24.8,12.6,145.0,1
earthwork,-67.236,-10.3038,0.43360543,-0.09753638,-0.0782820439552248,25.91666603,10.39999962,70.74829865,78.77855682,32.70000076,18.0,14.70000076,26.21666718,24.86666679,26.64999962,24.78333282,1741,237,36,51.33139801,699,144,440,175,719736.8543,635144.4338,135.0,0.7344163060188293,3.774508389213959,46.0,75.0,29.5,13.2,147.0,1
earthwork,-67.564,-10.3008,0.4506865,-0.11897979,-0.0748443259678864,25.48749924,10.59166622,70.61110687,81.4115448,32.29999924,17.29999924,15.0,25.85000038,24.38333321,26.18333435,24.29999924,1679,221,50,45.22949982,647,180,427,193,706441.3492,607619.0945,128.0,2.1538310050964355,8.234225472733021,50.0,135.0,22.637632,19.92964,145.0,1
earthwork,-67.215,-9.6506,0.37435502,-0.07556408,-0.0514982224479431,25.65416718,10.77499962,72.80405426,75.69250488,32.5,17.70000076,14.79999924,25.95000076,24.63333321,26.33333206,24.54999924,1893,287,24,58.56889725,810,109,456,178,653955.0295,684509.3237,132.0,0.8199748992919922,4.228066131208818,44.0,95.0,29.8,15.7,212.0,1
earthwork,-67.154,-10.0154,0.32633963,0.04058512,0.0340082124147346,25.61250114,10.5583334,71.82539368,75.53218842,32.40000153,17.70000076,14.70000076,25.86666679,24.60000038,26.31666756,24.53333282,1800,254,31,53.49538803,738,133,449,180,693720.9403,662479.02,134.0,1.2117877006530762,3.80058475033046,46.0,109.0,21.958,16.086,208.0,1
earthwork,-67.535,-10.0322,0.4790484,-0.20059898,-0.1303103148676302,25.40416718,10.45833302,70.1901474,83.43364716,32.20000076,17.29999924,14.90000153,25.78333282,24.26666641,26.10000038,24.18333244,1687,219,49,43.61660767,645,188,427,203,679684.0129,629989.5063,139.0,0.2318714708089828,3.711842908553348,47.0,115.0,26.21108,15.56836,256.0,1
earthwork,-67.795,-10.3213,0.40619794,-0.0711113,-0.0439854533529319,25.46666718,10.44999981,70.13422394,85.7674942,32.20000076,17.29999924,14.90000153,25.88333321,24.26666641,26.20000076,24.23333359,1670,216,52,42.6728363,630,197,500,200,700389.4162,587202.1379,131.0,1.8009467124938965,5.028314888437743,47.0,78.0,23.8,14.84,257.0,1
earthwork,-67.527,-10.0309,0.48241493,-0.12825912,-0.0827982496664919,25.42916679,10.49166679,70.41386414,81.94948578,32.20000076,17.29999924,14.90000153,25.78333282,24.31666756,26.13333321,24.23333359,1698,221,50,43.514431,648,188,432,205,679704.5436,630633.538,138.0,0.6955840587615967,1.1967032904737338,50.0,86.0,29.4,17.7,260.0,1
earthwork,-67.104,-10.0439,0.3830706,-0.117638096,-0.0853282001120862,25.73749924,10.625,71.30873108,74.8065567,32.59999847,17.70000076,14.89999771,25.98333359,24.75,26.44999886,24.66666603,1792,255,29,54.93149948,742,123,448,172,698611.201,664747.5187,131.0,4.403182029724121,11.541658309931396,45.0,105.0,26.86924,13.310112,270.0,1
earthwork,-67.597,-10.2444,0.4478662,-0.10841439,-0.0794353985041284,25.47916603,10.59166718,70.14347839,82.39202881,32.40000153,17.29999924,15.10000229,25.85000038,24.35000038,26.18333435,24.28333282,1680,216,52,43.13061905,638,192,427,203,699271.9919,609169.6626,134.0,1.3297529220581057,4.666666666666667,47.0,96.0,26.506304,14.6448,231.0,1
earthwork,-67.995,-10.0787,0.36188105,-0.109810054,-0.0878929362910687,25.25416565,10.42500019,70.43919373,88.48362732,31.89999962,17.10000038,14.79999924,25.73333359,24.0,25.98333359,23.98333359,1653,209,56,40.91363525,615,207,493,210,667724.0062,589983.1186,132.0,3.08825421333313,10.992702405361488,48.0,92.0,23.2,12.7,273.0,1
earthwork,-67.509,-10.0881,0.41949698,-0.121707335,-0.0851657703043092,25.58749962,10.59166622,70.14348602,82.35525513,32.5,17.39999962,15.10000038,25.93333435,24.45000076,26.29999924,24.39999962,1695,220,49,43.93136215,650,187,427,206,686358.1732,627822.6561,137.0,0.2600590288639068,0.955813918560104,48.0,109.0,26.4,16.4,277.0,1
earthwork,-67.755,-10.3788,0.45777178,-0.10349636,-0.0781322995467621,25.4375,10.32499981,70.23809814,84.77577972,32.09999847,17.39999962,14.69999886,25.83333397,24.26666641,26.18333244,24.21666718,1641,219,47,46.00515366,635,175,498,184,707800.6499,586179.3008,131.0,0.8456194400787354,4.280302285390548,48.0,111.0,23.5,15.0,262.0,1
